,Image,F1,Jaccard,Recall,Precision
198,1568.png,0.9206349206349207,0.8529411764705882,0.9398148148148148,0.9022222222222223
199,222.png,0.9808877928483355,0.9624924379915305,0.9766728054020871,0.9851393188854489
200,269.png,0.9177101967799642,0.8479338842975207,0.9661016949152542,0.8739352640545145
201,3041.png,0.0,0.0,0.0,0.0
202,1043.png,0.9329608938547487,0.8743455497382199,0.8942436412315931,0.9751824817518249
203,2479.png,0.8358333333333332,0.717967072297781,0.8572649572649572,0.8154471544715447
204,2550.png,0.6754563894523327,0.5099540581929556,0.6110091743119266,0.7551020408163265
205,393.png,0.0,0.0,0.0,0.0
206,110.png,0.5947368421052632,0.4232209737827715,0.4318471337579618,0.9549295774647887
207,3033.png,0.5224676313785225,0.35360824742268043,0.35961417487942965,0.9548997772828508
208,2233.png,0.6312883435582822,0.4612281488121918,0.8668913226621735,0.4963820549927641
209,2965.png,0.35400797968806674,0.2150727192595857,0.21805183199285075,0.9402697495183044
210,581.png,0.9783549783549783,0.9576271186440678,0.9772012578616353,0.9795114263199369
211,1089.png,0.8018018018018017,0.6691729323308271,0.67360454115421,0.9902642559109874
212,2627.png,0.0,0.0,0.0,0.0
213,1411.png,0.9211908931698775,0.8538961038961039,0.8915254237288136,0.9528985507246377
214,244.png,0.9628040057224607,0.9282758620689655,0.9655667144906743,0.9600570613409415
215,2609.png,0.7331695331695331,0.5787432117920869,0.7138755980861244,0.7535353535353535
216,855.png,0.8073059360730593,0.6768759571209801,0.9615663524292966,0.695697796432319
217,2909.png,0.8342857142857143,0.7156862745098039,0.750367107195301,0.9393382352941176
218,1207.png,0.8881578947368421,0.7988165680473372,0.8282208588957055,0.9574468085106383
219,2593.png,0.9101604278074866,0.8351324828263003,0.8710337768679631,0.9529675251959686
220,184.png,0.6193853427895981,0.4486301369863014,0.9247058823529412,0.4656398104265403
221,2060.png,0.0,0.0,0.0,0.0
222,159.png,0.9506953223767384,0.9060240963855422,0.9335816263190565,0.9684481648422408
223,512.png,0.9765282434872323,0.954133064516129,0.9643402954661233,0.9890282131661442
224,2732.png,0.45616883116883117,0.29547844374342797,0.49298245614035086,0.4244712990936556
225,2994.png,0.0,0.0,0.0,0.0
226,2394.png,0.5901768172888017,0.41861761426978816,0.4491626794258373,0.8602520045819015
227,1420.png,0.911062906724512,0.8366533864541833,0.8536585365853658,0.9767441860465116
228,1814.png,0.8587155963302752,0.752411575562701,0.9790794979079498,0.7647058823529411
229,782.png,0.943330427201395,0.8927392739273927,0.9706937799043063,0.9174674957603166
230,1437.png,0.8856209150326797,0.7947214076246334,0.9951040391676866,0.7978410206084396
231,2300.png,0.4968036529680365,0.330498177399757,0.9819494584837545,0.33251833740831294
232,2801.png,0.9043258604357436,0.8253602305475505,0.9669142471303174,0.8493475682087782
233,2418.png,0.8554104477611939,0.7473512632436837,0.7473512632436837,1.0
234,1955.png,0.732258064516129,0.5776081424936387,0.5776081424936387,1.0
235,1342.png,0.9113338473400153,0.8371104815864022,0.8394886363636364,0.9966273187183811
236,1585.png,0.9477726574500769,0.9007299270072993,0.954369682907966,0.9412662090007627
237,6.png,0.8242677824267783,0.701067615658363,0.7060931899641577,0.9899497487437185
238,718.png,0.6884805020170328,0.5249487354750513,0.5340751043115438,0.9684741488020177
239,437.png,0.8617021276595745,0.7570093457943925,0.9878048780487805,0.7641509433962265
240,1792.png,0.5266457680250785,0.3574468085106383,0.9333333333333333,0.36681222707423583
241,1681.png,0.9368421052631579,0.8811881188118812,0.911651728553137,0.9634641407307172
242,750.png,0.7981387103922003,0.6640855457227138,0.6824554755589238,0.9610458911419424
243,1826.png,0.9332909783989835,0.8749255509231686,0.9709187045604759,0.8984709480122324
244,2061.png,0.9191919191919192,0.8504672897196262,0.8792270531400966,0.9629629629629629
245,2858.png,0.8318318318318318,0.712082262210797,0.7148387096774194,0.9946140035906643
246,2101.png,0.3153575615474795,0.1871955462769659,0.6609336609336609,0.20708237105465743
247,1006.png,0.9211195928753181,0.8537735849056604,0.9141414141414141,0.9282051282051282
248,2808.png,0.5356643356643357,0.3658070678127985,1.0,0.3658070678127985
249,1803.png,0.9172932330827067,0.8472222222222222,0.8652482269503546,0.976
